ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
6976155,Spectatular View in River North CHI,16479196,https://www.airbnb.com/s/Chicago--IL?page=1,99,,Marco,Not Found,41.89232342647809,-87.62935803230457,No,Moderate,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$60,$100,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,0,Not Found,Not Found,1,Apartment,"
  Entire home/apt
     · 2 reviews
"
6586605,"high rise condo,great lake view",34453289,https://www.airbnb.com/s/Chicago--IL?page=1,79,,Jacky,Not Found,41.96154918557129,-87.65228410651798,No,Flexible,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$470,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Not Found,0,Not Found,Not Found,2,Apartment,"
  Entire home/apt
"
7195605,Apartment on the Lake,37680395,https://www.airbnb.com/s/Chicago--IL?page=1,89,,Cyril,Not Found,41.988515530960214,-87.65444186123487,No,Moderate,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
7038439,Beautiful One Bedroom Timber Loft,36904936,https://www.airbnb.com/s/Chicago--IL?page=1,150,,Nikola,Not Found,41.891863002863126,-87.63790560143657,No,Flexible,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$10,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Condominium,"
  Entire home/apt
     · 2 reviews
"
7261382,Nice Apartment in Lincoln park,38016448,https://www.airbnb.com/s/Chicago--IL?page=1,50,,Yannan,Not Found,41.93456788203942,-87.64085140494569,No,Flexible,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Not Found,1,Not Found,Not Found,2,Apartment,"
  Entire home/apt
     · 2 reviews
"
6202301,cozy 2 floor apt,9769372,https://www.airbnb.com/s/Chicago--IL?page=1,39,,Michelle,Not Found,41.98993367038448,-87.69383204058838,No,Flexible,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,1,1,Not Found,1,2:00 PM,1:00 PM,2,Apartment,"
  Shared room
     · "
200677,$350 PER MONTH/ FREE AIRPORT PICKUP,691000,https://www.airbnb.com/s/Chicago--IL?page=1,15,,Nonya,Not Found,41.775515781297116,-87.65311719548535,No,Strict,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,$11 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,2,Not Found,1,Not Found,11:00 AM,3,House,"
  Shared room
     · "
5047780,"Trendy Neighborhood, Cozy Apartment",8328126,https://www.airbnb.com/s/Chicago--IL?page=1,50,,Adriana & Enrique,Not Found,41.898522685509896,-87.67763795269747,No,Flexible,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$5,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Pull-out Sofa,1,Not Found,Not Found,1,Apartment,"
  Shared room
     · "
6869913,"Luxury High Rise, Epic View, Pool",1563664,https://www.airbnb.com/s/Chicago--IL?page=1,250,,Tyler,Not Found,41.89198382380354,-87.61856255441091,No,Strict,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
     · 1 review
"
4158376,Beautifully unique in Logan Square!,6090001,https://www.airbnb.com/s/Chicago--IL?page=1,75,,Lindsay,Not Found,41.93017660336995,-87.71130525707994,No,Moderate,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$500,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Airbed,1,2:00 PM,12:00 PM (noon),1,Apartment,"
  Private room
     · 2 reviews
"
556688, LOFT SPACE WITH PRIVATE COURTYARD,2737299,https://www.airbnb.com/s/Chicago--IL?page=1,75,,Wendy,Not Found,41.85888903677749,-87.64707891117311,No,Flexible,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$30,Not Found,Not Found,Not Found,$420,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,Not Found,Futon,1,Not Found,Not Found,1,Loft,"
  Entire home/apt
     · "
7277370,One Bedroom Chicago Downtown,38102843,https://www.airbnb.com/s/Chicago--IL?page=1,110,,Barbara,Not Found,41.89406669213125,-87.63018559815242,No,Flexible,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$680,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
640473,Private Single Down Town *Top value,1006155,https://www.airbnb.com/s/Chicago--IL?page=1,29,,Mejai Kai,Not Found,41.828639327514196,-87.61975156855489,No,Strict,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$20,Not Found,Not Found,Not Found,$250,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,1,1,Real Bed,1,5:00 PM,11:00 AM,1,House,"
  Private room
     · "
6910519,Charming Studio in Wrigleyville,36213915,https://www.airbnb.com/s/Chicago--IL?page=1,123,,Allison,Not Found,41.95286502336155,-87.66002094462833,No,Flexible,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,0,Not Found,Not Found,1,Apartment,"
  Entire home/apt
     · 1 review
"
7363976,Corner Unit-Floor 2 Ceiling Windows,8613709,https://www.airbnb.com/s/Chicago--IL?page=1,109,,Erica,Not Found,41.86297031908087,-87.62744567118075,No,Flexible,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
492017,Luxury Downtown Living!,1196111,https://www.airbnb.com/s/Chicago--IL?page=1,100,,FaRo,Not Found,41.89383481931894,-87.6146706999316,No,Strict,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,$650,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,3:00 PM,12:00 PM (noon),1,Apartment,"
  Private room
     · "
7289168,Beautiful Summer Apartment,18877534,https://www.airbnb.com/s/Chicago--IL?page=1,77,,Maryam,Not Found,41.79828168760651,-87.59505701954117,No,Flexible,17,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
6210196,Millennium Park Private bd/bth,32059228,https://www.airbnb.com/s/Chicago--IL?page=1,68,,Gloria,Not Found,41.88354985733651,-87.62592524183027,No,Moderate,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$15,Not Found,No Charge,Not Found,$550,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,4:00 PM,12:00 PM (noon),1,Apartment,"
  Private room
     · "
735447,"walk to bus, trains, private & easy",3836635,https://www.airbnb.com/s/Chicago--IL?page=2,45,,Caitlin,Not Found,41.91138973610091,-87.70404005550132,No,Flexible,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Private room
     · "
